code,name
BSE/BOM500002,ABB India Limited EOD Prices
BSE/BOM500003,AEGIS LOGISTICS LTD. EOD Prices
BSE/BOM500008,AMARA RAJA BATTERIES LTD. EOD Prices
BSE/BOM500009,AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices
BSE/BOM500010,HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices
BSE/BOM500012,ANDHRA PETROCHEMICALS LTD. EOD Prices
BSE/BOM500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices
BSE/BOM500014,Utique Enterprises Ltd EOD Prices
BSE/BOM500016,ARUNA HOTELS LTD. EOD Prices
BSE/BOM500020,BOMBAY DYEING & MFG.CO.LTD. EOD Prices
BSE/BOM500023,Asian Hotels (North) Limited EOD Prices
BSE/BOM500024,Assam Company (India) Limited EOD Prices
BSE/BOM500027,ATUL LTD. EOD Prices
BSE/BOM500028,ATV PROJECTS INDIA LTD. EOD Prices
BSE/BOM500029,AUTOLITE (INDIA) LTD. EOD Prices
BSE/BOM500030,AUTORIDERS FINANCE LTD. EOD Prices
BSE/BOM500031,BAJAJ ELECTRICALS LTD.-$ EOD Prices
BSE/BOM500032,Bajaj Hindusthan Sugar Limited EOD Prices
BSE/BOM500033,FORCE MOTORS LTD.-$ EOD Prices
BSE/BOM500034,Bajaj Finance Limited EOD Prices
BSE/BOM500038,BALRAMPUR CHINI MILLS LTD. EOD Prices
BSE/BOM500039,BANCO PRODUCTS (INDIA) LTD.-$ EOD Prices
BSE/BOM500040,CENTURY TEXTILES & INDUSTRIES LTD. EOD Prices
BSE/BOM500041,BANNARI AMMAN SUGARS LTD. EOD Prices
BSE/BOM500042,BASF INDIA LTD. EOD Prices
BSE/BOM500043,BATA INDIA LTD. EOD Prices
BSE/BOM500046,Best & Crompton Engg.ltd. EOD Prices
BSE/BOM500048,BEML LTD. EOD Prices
BSE/BOM500049,BHARAT ELECTRONICS LTD. EOD Prices
BSE/BOM500051,Bhagawati Gas Limited EOD Prices
BSE/BOM500052,BHANSALI ENGINEERING POLYMERS LTD.-$ EOD Prices
BSE/BOM500055,Tata Steel Bsl Ltd EOD Prices
BSE/BOM500057,ADITYA BIRLA CHEMICALS (INDIA) LTD. EOD Prices
BSE/BOM500058,BIHAR SPONGE IRON LTD. EOD Prices
BSE/BOM500059,BINANI INDUSTRIES LTD. EOD Prices
BSE/BOM500060,Birla Cable Ltd EOD Prices
BSE/BOM500067,BLUE STAR LTD. EOD Prices
BSE/BOM500068,DISA INDIA LTD. EOD Prices
BSE/BOM500069,BNK CAPITAL MARKETS LTD. EOD Prices
BSE/BOM500074,BPL LTD. EOD Prices
BSE/BOM500077,Cable Corporation Of India Ltd. EOD Prices
BSE/BOM500078,Oriental Aromatics Ltd-$ EOD Prices
BSE/BOM500083,CENTURY EXTRUSIONS LTD. EOD Prices
BSE/BOM500084,CESC LTD. EOD Prices
BSE/BOM500085,CHAMBAL FERTILISERS & CHEMICALS LTD. EOD Prices
BSE/BOM500086,EXIDE INDUSTRIES LTD. EOD Prices
BSE/BOM500087,CIPLA LTD. EOD Prices
BSE/BOM500089,DIC INDIA LTD. EOD Prices
BSE/BOM500092,CRISIL LTD. EOD Prices
BSE/BOM500093,CG Power and Industrial Solutions Ltd EOD Prices
BSE/BOM500095,Wyeth Ltd. EOD Prices
BSE/BOM500096,DABUR INDIA LTD. EOD Prices
BSE/BOM500097,Dalmia Bharat Sugar and Industries Ltd EOD Prices
